Description,IncidentCategory
"Near the campus pond, a group of students is engaging in illicit drug use. Immediate intervention and reporting to campus security are essential.",1
"At the sports complex, a student reports the unauthorized use of sports facilities by non-members. Immediate reporting and involvement of campus security are essential.",1
"In the cafeteria, a student witnesses another attempting to steal food without paying. Security should be alerted to address the situation.",1
"In the psychology class, a heated argument between two students turns aggressive. They need to be separated, and campus security should be called.",1
"In the cafeteria, a student witnesses another attempting to steal food without paying. Security should be alerted to address the situation.",1
"At the language lab, a student reports receiving threatening messages online. This cyberbullying incident requires immediate attention from campus authorities.",1
"At the campus pond, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"In the dormitory, a student reports their laptop stolen from their room. They suspect someone unauthorized entered. Immediate investigation and security involvement needed.",1
"In the psychology class, a heated argument between two students turns aggressive. They need to be separated, and campus security should be called.",1
"In the chemistry lab, a student observes another attempting to tamper with experiments. Immediate reporting and involvement of campus security are essential.",1
"Near the library, a student witnesses a heated argument escalating. It becomes physical, and immediate intervention is necessary. Notify campus security.",1
"In the physics lab, a student notices someone attempting to remove equipment without authorization. Immediate reporting and involvement of campus security are necessary.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities. Security should be notified to prevent any potential issues.",1
"In the courtyard, a student notices someone defacing public property with graffiti. Immediate reporting and involvement of campus security are necessary.",1
"In the courtyard, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"In the cafeteria, a student's wallet is stolen from their bag while they're distracted. Immediate reporting and involvement of campus security are essential.",1
"At the sports complex, a student's sports equipment is stolen from the storage area. Immediate reporting and involvement of campus security are necessary.",1
"Near the campus pond, a group of students is engaging in illicit drug use. Immediate intervention and reporting to campus security are essential.",1
"Near the entrance, a student is loitering suspiciously, possibly attempting to gain unauthorized access. Security should be alerted to investigate.",1
"In the engineering lab, a student's research materials are tampered with, possibly sabotaged. Immediate reporting and involvement of campus security are essential.",1
"In the engineering lab, a student's research materials are tampered with, possibly sabotaged. Immediate reporting and involvement of campus security are essential.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities. Security should be notified to prevent any potential issues.",1
"At the sports complex, a student's sports equipment is stolen from the storage area. Immediate reporting and involvement of campus security are necessary.",1
"In the courtyard, a student is harassed by another, making them feel unsafe. This case of harassment requires immediate intervention and reporting to campus authorities.",1
"At the campus cafe, a student snatches another's bag and runs off. A theft has occurred, and security should be notified promptly.",1
"In the dormitory, a student reports suspicious individuals loitering in the hallway. Security should be alerted to investigate and ensure campus safety.",1
"Walking near the library, I notice a heated argument between two students escalating. It turns physical, and they need to be separated immediately. Notify campus security.",1
 Security should be notified to prevent any potential issues.,1
"In the library, a student notices someone attempting to shoplift books. Security should be alerted to prevent the theft.",1
"In the language lab, a student's personal belongings are stolen while they step away. Immediate reporting and involvement of campus security are necessary.",1
"In the music room, a student reports the theft of their musical instrument. Immediate reporting and involvement of campus security are necessary.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities. Security should be notified to prevent any potential issues.",1
"In the courtyard, a student notices someone defacing public property with graffiti. Immediate reporting and involvement of campus security are necessary.",1
"At the sports complex, a student's sports equipment is stolen from the storage area. Immediate reporting and involvement of campus security are necessary.",1
"Near the campus pond, a group of students is engaging in illicit drug use. Immediate intervention and reporting to campus security are essential.",1
"At the campus cafe, a student snatches another's bag and runs off. A theft has occurred, and security should be notified promptly.",1
"In the cafeteria, a student witnesses another attempting to steal food without paying. Security should be alerted to address the situation.",1
"In the psychology class, a heated argument between two students turns aggressive. They need to be separated, and campus security should be called.",1
"In the chemistry lab, a student observes another attempting to tamper with experiments. Immediate reporting and involvement of campus security are essential.",1
"Walking near the library, I notice a heated argument between two students escalating. It turns physical, and they need to be separated immediately. Notify campus security.",1
"In the chemistry lab, a student observes another attempting to tamper with experiments. Immediate reporting and involvement of campus security are essential.",1
"In the cafeteria, a student witnesses another attempting to steal food without paying. Security should be alerted to address the situation.",1
"At the language lab, a student reports receiving threatening messages online. This cyberbullying incident requires immediate attention from campus authorities.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities. Security should be notified to prevent any potential issues.",1
"In the cafeteria, a student's wallet is stolen from their bag while they're distracted. Immediate reporting and involvement of campus security are essential.",1
"In the cafeteria, a student's wallet is stolen from their bag while they're distracted. Immediate reporting and involvement of campus security are essential.",1
"In the dormitory, a student reports suspicious individuals loitering in the hallway. Security should be alerted to investigate and ensure campus safety.",1
"In the engineering lab, a student notices valuable equipment missing. It appears to be a case of theft. Immediate reporting and security involvement are necessary.",1
"At the campus cafe, a student snatches another's bag and runs off. A theft has occurred, and security should be notified promptly.",1
"In the gym, a student reports witnessing another stealing personal belongings from the locker room. Immediate reporting and security involvement are necessary.",1
"In the campus parking lot, I witness a student attempting to break into a car. They look suspicious, and immediate intervention is needed. Security should be alerted.",1
"In the music room, a student reports the theft of their musical instrument. Immediate reporting and involvement of campus security are necessary.",1
"Near the entrance, a student is loitering suspiciously, possibly attempting to gain unauthorized access. Security should be alerted to investigate.",1
"Walking near the library, I notice a heated argument between two students escalating. It turns physical, and they need to be separated immediately. Notify campus security.",1
"In the dormitory, a student reports their laptop stolen from their room. They suspect someone unauthorized entered. Immediate investigation and security involvement needed.",1
"In the courtyard, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"At the language lab, a student reports receiving threatening messages online. This cyberbullying incident requires immediate attention from campus authorities.",1
"At the language lab, a student reports receiving threatening messages online. This cyberbullying incident requires immediate attention from campus authorities.",1
"In the gym, a student reports witnessing another stealing personal belongings from the locker room. Immediate reporting and security involvement are necessary.",1
"At the campus cafe, a student snatches another's bag and runs off. A theft has occurred, and security should be notified promptly.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities. Security should be notified to prevent any potential issues.",1
"Walking near the library, I notice a heated argument between two students escalating. It turns physical, and they need to be separated immediately. Notify campus security.",1
"In the engineering lab, a student notices valuable equipment missing. It appears to be a case of theft. Immediate reporting and security involvement are necessary.",1
"In the engineering lab, a student notices valuable equipment missing. It appears to be a case of theft. Immediate reporting and security involvement are necessary.",1
"In the courtyard, a student is harassed by another, making them feel unsafe. This case of harassment requires immediate intervention and reporting to campus authorities.",1
"In the chemistry lab, a student observes another attempting to tamper with experiments. Immediate reporting and involvement of campus security are essential.",1
"In the gym, a student reports witnessing another stealing personal belongings from the locker room. Immediate reporting and security involvement are necessary.",1
"In the dormitory, a student reports suspicious individuals loitering in the hallway. Security should be alerted to investigate and ensure campus safety.",1
"In the engineering lab, a student's research materials are tampered with, possibly sabotaged. Immediate reporting and involvement of campus security are essential.",1
"In the dormitory, a student reports finding graffiti on their door. It appears to be an act of vandalism, and campus security should be notified.",1
"At the campus cafe, a student snatches another's bag and runs off. A theft has occurred, and security should be notified promptly.",1
"In the language lab, a student's personal belongings are stolen while they step away. Immediate reporting and involvement of campus security are necessary.",1
"In the gym, a student reports witnessing another stealing personal belongings from the locker room. Immediate reporting and security involvement are necessary.",1
"Walking near the library, I notice a heated argument between two students escalating. It turns physical, and they need to be separated immediately. Notify campus security.",1
"In the gym, a student reports witnessing another stealing personal belongings from the locker room. Immediate reporting and security involvement are necessary.",1
"In the courtyard, a student notices someone defacing public property with graffiti. Immediate reporting and involvement of campus security are necessary.",1
"In the courtyard, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"Walking near the library, I notice a heated argument between two students escalating. It turns physical, and they need to be separated immediately. Notify campus security.",1
"In the gym, a student reports witnessing another stealing personal belongings from the locker room. Immediate reporting and security involvement are necessary.",1
"In the campus parking lot, I witness a student attempting to break into a car. They look suspicious, and immediate intervention is needed. Security should be alerted.",1
"In the engineering lab, a student notices valuable equipment missing. It appears to be a case of theft. Immediate reporting and security involvement are necessary.",1
"At the sports complex, a student's sports equipment is stolen from the storage area. Immediate reporting and involvement of campus security are necessary.",1
"In the psychology class, a heated argument between two students turns aggressive. They need to be separated, and campus security should be called.",1
"At the sports complex, a student's sports equipment is stolen from the storage area. Immediate reporting and involvement of campus security are necessary.",1
"In the psychology class, a heated argument between two students turns aggressive. They need to be separated, and campus security should be called.",1
"Near the campus pond, a group of students is engaging in illicit drug use. Immediate intervention and reporting to campus security are essential.",1
"Walking near the library, I notice a heated argument between two students escalating. It turns physical, and they need to be separated immediately. Notify campus security.",1
"At the language lab, a student reports receiving threatening messages online. This cyberbullying incident requires immediate attention from campus authorities.",1
"At the language lab, a student reports receiving threatening messages online. This cyberbullying incident requires immediate attention from campus authorities.",1
"In the campus parking lot, I witness a student attempting to break into a car. They look suspicious, and immediate intervention is needed. Security should be alerted.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities. Security should be notified to prevent any potential issues.",1
"In the dormitory, a student reports finding graffiti on their door. It appears to be an act of vandalism, and campus security should be notified.",1
"In the physics lab, a student notices someone attempting to remove equipment without authorization. Immediate reporting and involvement of campus security are necessary.",1
"In the engineering lab, a student's research materials are tampered with, possibly sabotaged. Immediate reporting and involvement of campus security are essential.",1
"In the music room, a student reports the theft of their musical instrument. Immediate reporting and involvement of campus security are necessary.",1
"At the campus pond, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities.",1
"At the campus cafe, a student snatches another's bag and runs off. A theft has occurred, and security should be notified promptly.",1
"In the courtyard, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities.",1
"In the cafeteria, a student witnesses another attempting to steal food without paying. Security should be alerted to address the situation.",1
"In the campus parking lot, I witness a student attempting to break into a car. They look suspicious, and immediate intervention is needed. Security should be alerted.",1
"In the library, a student notices someone attempting to shoplift books. Security should be alerted to prevent the theft.",1
"In the courtyard, I come across a group of students engaging in a physical altercation. They need to be separated, and campus security should intervene.",1
"At the sports complex, a student reports the unauthorized use of sports facilities by non-members. Immediate reporting and involvement of campus security are essential.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities.",1
"In the dormitory, a student reports suspicious individuals loitering in the hallway. Security should be alerted to investigate and ensure campus safety.",1
"Walking near the library, I notice a heated argument between two students escalating. It turns physical, and they need to be separated immediately. Notify campus security.",1
"At the sports complex, a student reports the unauthorized use of sports facilities by non-members. Immediate reporting and involvement of campus security are essential.",1
"Near the library, a student witnesses a heated argument escalating. It becomes physical, and immediate intervention is necessary. Notify campus security.",1
"In the campus parking lot, I witness a student attempting to break into a car. They look suspicious, and immediate intervention is needed. Security should be alerted.",1
"In the chemistry lab, a student observes another attempting to tamper with experiments. Immediate reporting and involvement of campus security are essential.",1
"In the campus parking lot, I witness a student attempting to break into a car. They look suspicious, and immediate intervention is needed. Security should be alerted.",1
"At the campus cafe, a student snatches another's bag and runs off. A theft has occurred, and security should be notified promptly.",1
"At the campus cafe, a student snatches another's bag and runs off. A theft has occurred, and security should be notified promptly.",1
"Near the entrance, a student is loitering suspiciously, possibly attempting to gain unauthorized access. Security should be alerted to investigate.",1
"In the library, a student notices someone attempting to shoplift books. Security should be alerted to prevent the theft.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities. Security should be notified to prevent any potential issues.",1
"In the music room, a student reports the theft of their musical instrument. Immediate reporting and involvement of campus security are necessary.",1
"In the psychology class, a heated argument between two students turns aggressive. They need to be separated, and campus security should be called.",1
"In the cafeteria, a student's wallet is stolen from their bag while they're distracted. Immediate reporting and involvement of campus security are essential.",1
"In the courtyard, I come across a group of students engaging in a physical altercation. They need to be separated, and campus security should intervene.",1
"In the engineering lab, a student notices valuable equipment missing. It appears to be a case of theft. Immediate reporting and security involvement are necessary.",1
"Near the campus pond, a group of students is engaging in illicit drug use. Immediate intervention and reporting to campus security are essential.",1
"In the gym, a student reports witnessing another stealing personal belongings from the locker room. Immediate reporting and security involvement are necessary.",1
"In the courtyard, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"In the dormitory, a student reports suspicious individuals loitering in the hallway. Security should be alerted to investigate and ensure campus safety.",1
"At the campus pond, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"At the sports complex, a student's sports equipment is stolen from the storage area. Immediate reporting and involvement of campus security are necessary.",1
"At the campus pond, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"At the campus cafe, a student snatches another's bag and runs off. A theft has occurred, and security should be notified promptly.",1
"In the gym, a student reports witnessing another stealing personal belongings from the locker room. Immediate reporting and security involvement are necessary.",1
"In the physics lab, a student notices that expensive equipment has been tampered with. It appears to be an act of vandalism or sabotage. Security should be alerted.",1
"In the engineering lab, a student's research materials are tampered with, possibly sabotaged. Immediate reporting and involvement of campus security are essential.",1
 Security should be notified to prevent any potential issues.,1
"At the campus cafe, a student snatches another's bag and runs off. A theft has occurred, and security should be notified promptly.",1
"In the courtyard, a student is harassed by another, making them feel unsafe. This case of harassment requires immediate intervention and reporting to campus authorities.",1
"In the campus parking lot, I witness a student attempting to break into a car. They look suspicious, and immediate intervention is needed. Security should be alerted.",1
 Security should be notified to prevent any potential issues.,1
"In the courtyard, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"Near the campus pond, a group of students is engaging in illicit drug use. Immediate intervention and reporting to campus security are essential.",1
"In the engineering lab, a student notices valuable equipment missing. It appears to be a case of theft. Immediate reporting and security involvement are necessary.",1
"In the psychology class, a heated argument between two students turns aggressive. They need to be separated, and campus security should be called.",1
"In the campus parking lot, I witness a student attempting to break into a car. They look suspicious, and immediate intervention is needed. Security should be alerted.",1
"In the engineering lab, a student's research materials are tampered with, possibly sabotaged. Immediate reporting and involvement of campus security are essential.",1
"In the physics lab, a student notices someone attempting to remove equipment without authorization. Immediate reporting and involvement of campus security are necessary.",1
"In the courtyard, I come across a group of students engaging in a physical altercation. They need to be separated, and campus security should intervene.",1
"Near the entrance, a student is loitering suspiciously, possibly attempting to gain unauthorized access. Security should be alerted to investigate.",1
"In the engineering lab, a student's research materials are tampered with, possibly sabotaged. Immediate reporting and involvement of campus security are essential.",1
"In the courtyard, a student notices someone defacing public property with graffiti. Immediate reporting and involvement of campus security are necessary.",1
"At the sports complex, a student reports the unauthorized use of sports facilities by non-members. Immediate reporting and involvement of campus security are essential.",1
"In the chemistry lab, a student observes another attempting to tamper with experiments. Immediate reporting and involvement of campus security are essential.",1
"In the library, a student notices someone attempting to shoplift books. Security should be alerted to prevent the theft.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities. Security should be notified to prevent any potential issues.",1
"In the gym, a student reports witnessing another stealing personal belongings from the locker room. Immediate reporting and security involvement are necessary.",1
"Near the campus pond, a group of students is engaging in illicit drug use. Immediate intervention and reporting to campus security are essential.",1
"In the courtyard, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"In the courtyard, a student is harassed by another, making them feel unsafe. This case of harassment requires immediate intervention and reporting to campus authorities.",1
"In the language lab, a student's personal belongings are stolen while they step away. Immediate reporting and involvement of campus security are necessary.",1
"In the cafeteria, a student's wallet is stolen from their bag while they're distracted. Immediate reporting and involvement of campus security are essential.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities. Security should be notified to prevent any potential issues.",1
"In the courtyard, I come across a group of students engaging in a physical altercation. They need to be separated, and campus security should intervene.",1
"Near the library, a student witnesses a heated argument escalating. It becomes physical, and immediate intervention is necessary. Notify campus security.",1
"At the sports complex, a student's sports equipment is stolen from the storage area. Immediate reporting and involvement of campus security are necessary.",1
"In the dormitory, a student reports finding graffiti on their door. It appears to be an act of vandalism, and campus security should be notified.",1
"In the courtyard, a student is harassed by another, making them feel unsafe. This case of harassment requires immediate intervention and reporting to campus authorities.",1
"Near the entrance, a student is loitering suspiciously, possibly attempting to gain unauthorized access. Security should be alerted to investigate.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities. Security should be notified to prevent any potential issues.",1
"In the engineering lab, a student notices valuable equipment missing. It appears to be a case of theft. Immediate reporting and security involvement are necessary.",1
"Near the entrance, a student is distributing unauthorized flyers. This could be a violation of campus rules, and security should be notified.",1
"In the courtyard, I come across a group of students engaging in a physical altercation. They need to be separated, and campus security should intervene.",1
"In the chemistry lab, a student observes another attempting to tamper with experiments. Immediate reporting and involvement of campus security are essential.",1
"In the dormitory, a student reports finding graffiti on their door. It appears to be an act of vandalism, and campus security should be notified.",1
"In the dormitory, a student reports their laptop stolen from their room. They suspect someone unauthorized entered. Immediate investigation and security involvement needed.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities.",1
"At the sports complex, a student reports the unauthorized use of sports facilities by non-members. Immediate reporting and involvement of campus security are essential.",1
"In the language lab, a student's personal belongings are stolen while they step away. Immediate reporting and involvement of campus security are necessary.",1
"At the language lab, a student reports receiving threatening messages online. This cyberbullying incident requires immediate attention from campus authorities.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities. Security should be notified to prevent any potential issues.",1
"In the cafeteria, a student's wallet is stolen from their bag while they're distracted. Immediate reporting and involvement of campus security are essential.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities. Security should be notified to prevent any potential issues.",1
"Near the entrance, a student is distributing unauthorized flyers. This could be a violation of campus rules, and security should be notified.",1
"In the campus parking lot, I witness a student attempting to break into a car. They look suspicious, and immediate intervention is needed. Security should be alerted.",1
"At the sports complex, a student's sports equipment is stolen from the storage area. Immediate reporting and involvement of campus security are necessary.",1
"In the chemistry lab, a student observes another attempting to tamper with experiments. Immediate reporting and involvement of campus security are essential.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities. Security should be notified to prevent any potential issues.",1
"In the music room, a student reports the theft of their musical instrument. Immediate reporting and involvement of campus security are necessary.",1
"In the courtyard, a student is harassed by another, making them feel unsafe. This case of harassment requires immediate intervention and reporting to campus authorities.",1
"In the courtyard, a student notices someone defacing public property with graffiti. Immediate reporting and involvement of campus security are necessary.",1
"At the sports complex, a student's sports equipment is stolen from the storage area. Immediate reporting and involvement of campus security are necessary.",1
"In the courtyard, a student is harassed by another, making them feel unsafe. This case of harassment requires immediate intervention and reporting to campus authorities.",1
"In the engineering lab, a student's research materials are tampered with, possibly sabotaged. Immediate reporting and involvement of campus security are essential.",1
"Near the entrance, a student is distributing unauthorized flyers. This could be a violation of campus rules, and security should be notified.",1
"In the gym, a student reports witnessing another stealing personal belongings from the locker room. Immediate reporting and security involvement are necessary.",1
"In the music room, a student reports the theft of their musical instrument. Immediate reporting and involvement of campus security are necessary.",1
"In the psychology class, a heated argument between two students turns aggressive. They need to be separated, and campus security should be called.",1
"At the sports complex, a student reports the unauthorized use of sports facilities by non-members. Immediate reporting and involvement of campus security are essential.",1
"In the music room, a student reports the theft of their musical instrument. Immediate reporting and involvement of campus security are necessary.",1
"In the library, a student notices someone attempting to shoplift books. Security should be alerted to prevent the theft.",1
"In the music room, a student reports the theft of their musical instrument. Immediate reporting and involvement of campus security are necessary.",1
"In the chemistry lab, a student observes another attempting to tamper with experiments. Immediate reporting and involvement of campus security are essential.",1
"In the courtyard, I come across a group of students engaging in a physical altercation. They need to be separated, and campus security should intervene.",1
"In the campus parking lot, I witness a student attempting to break into a car. They look suspicious, and immediate intervention is needed. Security should be alerted.",1
"In the cafeteria, a student's wallet is stolen from their bag while they're distracted. Immediate reporting and involvement of campus security are essential.",1
"At the sports complex, a student reports the unauthorized use of sports facilities by non-members. Immediate reporting and involvement of campus security are essential.",1
"In the library, a student notices someone attempting to shoplift books. Security should be alerted to prevent the theft.",1
"At the language lab, a student reports receiving threatening messages online. This cyberbullying incident requires immediate attention from campus authorities.",1
"Walking near the library, I notice a heated argument between two students escalating. It turns physical, and they need to be separated immediately. Notify campus security.",1
"In the gym, a student reports witnessing another stealing personal belongings from the locker room. Immediate reporting and security involvement are necessary.",1
"Near the entrance, a student is loitering suspiciously, possibly attempting to gain unauthorized access. Security should be alerted to investigate.",1
 Security should be notified to prevent any potential issues.,1
"In the engineering lab, a student's research materials are tampered with, possibly sabotaged. Immediate reporting and involvement of campus security are essential.",1
"At the sports complex, a student reports the unauthorized use of sports facilities by non-members. Immediate reporting and involvement of campus security are essential.",1
"In the courtyard, a student is harassed by another, making them feel unsafe. This case of harassment requires immediate intervention and reporting to campus authorities.",1
"In the dormitory, a student reports suspicious individuals loitering in the hallway. Security should be alerted to investigate and ensure campus safety.",1
"Near the entrance, a student is loitering suspiciously, possibly attempting to gain unauthorized access. Security should be alerted to investigate.",1
"At the sports complex, a student reports the unauthorized use of sports facilities by non-members. Immediate reporting and involvement of campus security are essential.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities. Security should be notified to prevent any potential issues.",1
"In the cafeteria, a student witnesses another attempting to steal food without paying. Security should be alerted to address the situation.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities. Security should be notified to prevent any potential issues.",1
"In the dormitory, a student reports suspicious individuals loitering in the hallway. Security should be alerted to investigate and ensure campus safety.",1
"In the cafeteria, a student's wallet is stolen from their bag while they're distracted. Immediate reporting and involvement of campus security are essential.",1
"In the engineering lab, a student's research materials are tampered with, possibly sabotaged. Immediate reporting and involvement of campus security are essential.",1
"At the sports complex, a student reports the unauthorized use of sports facilities by non-members. Immediate reporting and involvement of campus security are essential.",1
"In the engineering lab, a student notices valuable equipment missing. It appears to be a case of theft. Immediate reporting and security involvement are necessary.",1
"In the music room, a student reports the theft of their musical instrument. Immediate reporting and involvement of campus security are necessary.",1
"In the cafeteria, a student witnesses another attempting to steal food without paying. Security should be alerted to address the situation.",1
"In the library, a student notices someone attempting to shoplift books. Security should be alerted to prevent the theft.",1
"In the courtyard, a student notices someone defacing public property with graffiti. Immediate reporting and involvement of campus security are necessary.",1
"At the campus pond, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"In the chemistry lab, a student observes another attempting to tamper with experiments. Immediate reporting and involvement of campus security are essential.",1
"In the library, a student notices someone attempting to shoplift books. Security should be alerted to prevent the theft.",1
"In the dormitory, a student reports suspicious individuals loitering in the hallway. Security should be alerted to investigate and ensure campus safety.",1
"In the music room, a student reports the theft of their musical instrument. Immediate reporting and involvement of campus security are necessary.",1
"In the courtyard, a student notices someone defacing public property with graffiti. Immediate reporting and involvement of campus security are necessary.",1
"Walking near the library, I notice a heated argument between two students escalating. It turns physical, and they need to be separated immediately. Notify campus security.",1
"In the campus parking lot, I witness a student attempting to break into a car. They look suspicious, and immediate intervention is needed. Security should be alerted.",1
"Walking near the library, I notice a heated argument between two students escalating. It turns physical, and they need to be separated immediately. Notify campus security.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities.",1
"In the engineering lab, a student's research materials are tampered with, possibly sabotaged. Immediate reporting and involvement of campus security are essential.",1
"In the engineering lab, a student notices valuable equipment missing. It appears to be a case of theft. Immediate reporting and security involvement are necessary.",1
"At the campus cafe, a student snatches another's bag and runs off. A theft has occurred, and security should be notified promptly.",1
"In the engineering lab, a student notices valuable equipment missing. It appears to be a case of theft. Immediate reporting and security involvement are necessary.",1
"In the cafeteria, a student's wallet is stolen from their bag while they're distracted. Immediate reporting and involvement of campus security are essential.",1
"In the gym, a student reports witnessing another stealing personal belongings from the locker room. Immediate reporting and security involvement are necessary.",1
"In the courtyard, a student is harassed by another, making them feel unsafe. This case of harassment requires immediate intervention and reporting to campus authorities.",1
"In the psychology class, a heated argument between two students turns aggressive. They need to be separated, and campus security should be called.",1
"In the chemistry lab, a student observes another attempting to tamper with experiments. Immediate reporting and involvement of campus security are essential.",1
"At the sports complex, a student's sports equipment is stolen from the storage area. Immediate reporting and involvement of campus security are necessary.",1
"At the campus cafe, a student snatches another's bag and runs off. A theft has occurred, and security should be notified promptly.",1
"At the campus pond, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"In the courtyard, a student is harassed by another, making them feel unsafe. This case of harassment requires immediate intervention and reporting to campus authorities.",1
"In the language lab, a student's personal belongings are stolen while they step away. Immediate reporting and involvement of campus security are necessary.",1
"In the chemistry lab, a student observes another attempting to tamper with experiments. Immediate reporting and involvement of campus security are essential.",1
"In the engineering lab, a student's research materials are tampered with, possibly sabotaged. Immediate reporting and involvement of campus security are essential.",1
"In the cafeteria, a student's wallet is stolen from their bag while they're distracted. Immediate reporting and involvement of campus security are essential.",1
"In the courtyard, a student notices someone defacing public property with graffiti. Immediate reporting and involvement of campus security are necessary.",1
"At the campus cafe, a student snatches another's bag and runs off. A theft has occurred, and security should be notified promptly.",1
"In the psychology class, a heated argument between two students turns aggressive. They need to be separated, and campus security should be called.",1
"Walking near the library, I notice a heated argument between two students escalating. It turns physical, and they need to be separated immediately. Notify campus security.",1
"In the courtyard, a student is harassed by another, making them feel unsafe. This case of harassment requires immediate intervention and reporting to campus authorities.",1
"In the language lab, a student's personal belongings are stolen while they step away. Immediate reporting and involvement of campus security are necessary.",1
"In the physics lab, a student notices someone attempting to remove equipment without authorization. Immediate reporting and involvement of campus security are necessary.",1
"In the campus parking lot, I witness a student attempting to break into a car. They look suspicious, and immediate intervention is needed. Security should be alerted.",1
"In the dormitory, a student reports their laptop stolen from their room. They suspect someone unauthorized entered. Immediate investigation and security involvement needed.",1
"Walking near the library, I notice a heated argument between two students escalating. It turns physical, and they need to be separated immediately. Notify campus security.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities.",1
"At the sports complex, a student reports the unauthorized use of sports facilities by non-members. Immediate reporting and involvement of campus security are essential.",1
"Near the entrance, a student is loitering suspiciously, possibly attempting to gain unauthorized access. Security should be alerted to investigate.",1
"At the sports complex, a student's sports equipment is stolen from the storage area. Immediate reporting and involvement of campus security are necessary.",1
"In the chemistry lab, a student observes another attempting to tamper with experiments. Immediate reporting and involvement of campus security are essential.",1
"In the dormitory, a student reports their laptop stolen from their room. They suspect someone unauthorized entered. Immediate investigation and security involvement needed.",1
"Near the entrance, a student is distributing unauthorized flyers. This could be a violation of campus rules, and security should be notified.",1
"Near the campus pond, a group of students is engaging in illicit drug use. Immediate intervention and reporting to campus security are essential.",1
"In the campus parking lot, I witness a student attempting to break into a car. They look suspicious, and immediate intervention is needed. Security should be alerted.",1
"In the cafeteria, a student's wallet is stolen from their bag while they're distracted. Immediate reporting and involvement of campus security are essential.",1
"In the cafeteria, a student witnesses another attempting to steal food without paying. Security should be alerted to address the situation.",1
"At the sports complex, a student reports the unauthorized use of sports facilities by non-members. Immediate reporting and involvement of campus security are essential.",1
"In the psychology class, a student overhears plans for an unauthorized gathering that may lead to disruptive activities. Security should be notified to prevent any potential issues.",1
"Walking near the library, I notice a heated argument between two students escalating. It turns physical, and they need to be separated immediately. Notify campus security.",1
"Walking near the library, I notice a heated argument between two students escalating. It turns physical, and they need to be separated immediately. Notify campus security.",1
"In the cafeteria, a student's wallet is stolen from their bag while they're distracted. Immediate reporting and involvement of campus security are essential.",1
 Security should be notified to prevent any potential issues.,1
"In the courtyard, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"In the engineering lab, a student's research materials are tampered with, possibly sabotaged. Immediate reporting and involvement of campus security are essential.",1
"At the campus pond, a student is harassed by a stranger. Immediate intervention and reporting to campus security are essential.",1
"At the sports complex, a student reports the unauthorized use of sports facilities by non-members. Immediate reporting and involvement of campus security are essential.",1
